Name, Title
2020-01-01,88
2020-01-02,113
2020-01-03,102
2020-01-04,89
2020-01-05,91
2020-01-06,123
2020-01-07,101
2020-01-08,97
2020-01-09,108
2020-01-10,127
2020-01-11,76
2020-01-12,86
2020-01-13,100
2020-01-14,105
2020-01-15,106
2020-01-16,91
2020-01-17,109
2020-01-18,87
2020-01-19,80
2020-01-20,106
2020-01-21,118
2020-01-22,113
2020-01-23,106
2020-01-24,123
2020-01-25,103
2020-01-26,94
2020-01-27,121
2020-01-28,114
2020-01-29,111
2020-01-30,126
2020-01-31,133
2020-02-01,122
2020-02-02,113
2020-02-03,121
2020-02-04,90
2020-02-05,116
2020-02-06,112
2020-02-07,123
2020-02-08,120
2020-02-09,110
2020-02-10,111
2020-02-11,95
2020-02-12,132
2020-02-13,120
2020-02-14,114
2020-02-15,105
2020-02-16,106
2020-02-17,119
2020-02-18,107
2020-02-19,124
2020-02-20,111
2020-02-21,121
2020-02-22,126
2020-02-23,114
2020-02-24,122
2020-02-25,121
2020-02-26,135
2020-02-27,102
2020-02-28,114
2020-02-29,105
2020-03-01,94
2020-03-02,91
2020-03-03,94
2020-03-04,114
2020-03-05,99
2020-03-06,120
2020-03-07,106
2020-03-08,90
2020-03-09,105
2020-03-10,97
2020-04-01,86
2020-03-11,116
2020-03-12,75
2020-03-13,103
2020-03-14,94
2020-03-15,68
2020-03-16,78
2020-03-17,86
2020-03-18,71
2020-03-19,69
2020-03-20,74
2020-03-21,70
2020-03-22,86
2020-03-23,68
2020-03-24,63
2020-03-25,89
2020-03-26,81
2020-03-27,68
2020-03-28,78
2020-03-29,66
2020-03-30,81
2020-03-31,87
2020-04-02,89
2020-04-03,106
2020-04-04,92
2020-04-05,69
2020-04-06,88
2020-04-07,82
2020-04-08,93
2020-04-09,88
2020-04-10,100
2020-04-11,87
2020-04-12,80
2020-04-13,88
2020-04-14,87
2020-04-15,95
2020-04-16,82
2020-04-17,87
2020-04-18,81
2020-04-19,57
2020-04-20,77
2020-04-21,90
2020-04-22,89
2020-04-23,96
2020-04-24,98
2020-04-25,60
2020-04-26,68
2020-04-27,97
2020-04-28,89
2020-04-29,88
2020-04-30,95
2020-05-01,108
2020-05-02,69
2020-05-03,88
2020-05-04,82
2020-05-05,93
2020-05-06,95
2020-05-07,99
2020-05-08,104
2020-05-09,97
2020-05-10,74
2020-05-11,93
2020-05-12,67
2020-05-13,84
2020-05-14,96
2020-05-15,91
2020-05-16,87
2020-05-17,75
2020-05-18,69
2020-05-19,85
2020-05-20,89
2020-05-21,98
2020-05-22,87
2020-05-23,82
2020-05-24,66
2020-05-25,81
2020-05-26,76
2020-05-27,83
2020-05-28,71
2020-05-29,75
2020-05-30,92
2020-05-31,202
2020-06-01,162
2020-06-02,90
2020-06-03,64
2020-06-04,64
2020-06-05,69
2020-06-06,89
2020-06-07,71
2020-06-08,78
2020-06-09,75
